2019-06-01 14:46:44,981 INFO  [main] H2Database:114 - Creating data source with url=jdbc:h2:db/h2db/cruise;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=TRUE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.thoughtworks.go.server.util.H2EventListener'
2019-06-01 14:46:44,985 INFO  [main] DataMigrationRunner:36 - Running data migrations...
2019-06-01 14:46:44,991 INFO  [main] H2EventListener:31 - Initializing database: jdbc:h2:db/h2db/cruise
2019-06-01 14:46:45,097 INFO  [main] H2EventListener:83 - Creating index SYS:SYS_ID 0%
2019-06-01 14:46:45,098 INFO  [main] H2EventListener:83 - Creating index SYS:SYS_ID 0%
2019-06-01 14:46:45,128 INFO  [main] H2EventListener:35 - Database is opened
2019-06-01 14:46:45,133 INFO  [main] H2EventListener:31 - Initializing database: jdbc:h2:db/h2db/cruise
2019-06-01 14:46:45,218 INFO  [main] DataMigrationRunner:53 - Data migration took 1 ms
2019-06-01 14:46:45,223 INFO  [main] DataMigrationRunner:53 - Data migration took 0 ms
2019-06-01 14:46:45,225 INFO  [main] DataMigrationRunner:43 - Data migrations completed.
2019-06-01 14:46:47,030 WARN  [main] ConfigurationFactory:136 - No configuration found. Configuring ehcache from ehcache-failsafe.xml  found in the classpath: jar:file:/go-working-dir/work/jetty-0.0.0.0-8153-cruise.war-_go-any-/webapp/WEB-INF/lib/ehcache-2.10.6.jar!/ehcache-failsafe.xml
2019-06-01 14:46:47,183 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.AccessToken]; using defaults.
2019-06-01 14:46:47,262 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.NotificationFilter]; using defaults.
2019-06-01 14:46:47,438 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.UsageStatisticsReporting]; using defaults.
2019-06-01 14:46:47,453 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.User]; using defaults.
2019-06-01 14:46:47,472 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.server.domain.DataSharingSettings]; using defaults.
2019-06-01 14:46:47,514 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.Plugin]; using defaults.
2019-06-01 14:46:47,529 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.EnvironmentVariable]; using defaults.
2019-06-01 14:46:47,616 WARN  [main] EhCacheProvider:93 - Could not find configuration [com.thoughtworks.go.domain.User.notificationFilters]; using defaults.
2019-06-01 14:46:47,750 WARN  [main] EhCacheProvider:93 - Could not find configuration [org.hibernate.cache.UpdateTimestampsCache]; using defaults.
2019-06-01 14:46:47,820 WARN  [main] EhCacheProvider:93 - Could not find configuration [org.hibernate.cache.StandardQueryCache]; using defaults.
2019-06-01 14:46:50,809 INFO  [main] AESCipherProvider:62 - AES cipher not found. Creating a new cipher file
2019-06-01 14:47:01,486 INFO  [main] GoConfigMigration:94 - Upgrading config file from version 110 to version 123
2019-06-01 14:47:01,847 WARN  [Thread-82] PluginSettingsMetadataLoader:64 - Failed to fetch plugin settings metadata for plugin cd.go.authentication.ldap. Maybe the plugin does not implement plugin settings and view?
2019-06-01 14:47:01,850 WARN  [Thread-82] PluginSettingsMetadataLoader:65 - Plugin: cd.go.authentication.ldap - Metadata load info: [{extension='authorization', configuration='null', view='null', error='The plugin sent a response that could not be understood by Go. Plugin returned with code '500' and the following response: 'Request go.plugin-settings.get-configuration is not supported by plugin.''}]
2019-06-01 14:47:01,852 WARN  [Thread-82] PluginSettingsMetadataLoader:66 - Not all plugins are required to implement the request above. This error may be safe to ignore.
2019-06-01 14:47:02,355 INFO  [main] GoConfigMigration:102 - Finished upgrading config file
2019-06-01 14:47:02,356 INFO  [main] GoConfigMigrator:108 - [Config Save] Starting Config Save post upgrade using FullConfigSaveNormalFlow
2019-06-01 14:47:02,768 WARN  [main] ConfigRepository:194 - [CONFIG REPOSITORY] No head exists in the config repository.
